sentiment;text
shame;Estava a direcionar o meu descontentamento comigo mesma para o meu parceiro e desta forma estava a culpá-lo ao invés de resolver os meus próprios sentimentos.
guilt;Percebi que acho que os bens materiais são mais importantes do que cuidar da minha família o que me deixou avergonhada por ser tão egocêntrica.
joy;Fiquei contente quando a minha namorada terminou o exame dela e fomos para a casa dos pais dela.
fear;Fico apreensivo de cada vez que penso no significado da morte.
anger;Quando um carro está a fazer uma ultrapassagem e sou forçado a sair da estrada fico muito enervado.
sadness;Começei a pensar no trabalho árduo que é necessário para estudar, e como prefiro fazer outra coisa ao invés de disso, como também não entendo livros que estão em inglês.
disgust;Encontrei uma cerda no tubo de pasta de fígado o que me deixou muito mal disposto.
shame;Gritei à minha namorada sem querer só por estar irritado e acabei por trazer à tona os lados negativos dela, que na realidade não são tão importantes e fiquei a sentir-me muito mal.
guilt;Penso que não estudo o suficiente e depois do fim-de-semana, acho que já deveria ter estudado mais e completado mais coisas e fico culpado pela minha falta de produtividade.
joy;Fui aprovado num exame onde acreditava que não tinha corrido bem o que me deixou surpreso e contente.
fear;Alguém marca um encontro comigo e a pessoa chega atrasada eu começo a ficar ansiosa e apreensiva e a pensar que aconteceu algo horrível como um acidente de trânsito.
anger;É enervante quando se é injustamente acusado de algo que não se fez.
sadness;É triste quandoo os estudos de uma pessoa parecem desesperadamente difíceis e desinteressantes.
disgust;Quando descobrimos que pessoas conhecidas não são tão boas pessoas como se imaginavam, como quando falam mal de outros pelas costas ou roubam pertences sem necessitar.
shame;Quando uma pessoa é injusta e estúpida para com outra pessoa.
guilt;Quando alugém negligenciou ou foi injusto para com um bom amigo.
joy;Passar num exame onde esperava chumbar deixa-me animado.
fear;Um dia subi a uma árvore para apanhar maçãs e o ângulo da escada em que eu estava não me permitiu ficar suficientemente alto e assim como a escada não estava estável para subir estava com receio de cair no chão.
anger;Raíva de pessoas que torturam animais.
sadness;É tão triste quando pessoas magoam animais indefesos.
disgust;Sinto nojo das pessoas que maltratam animais.
shame;É vergonhoso existir pessoas que são capazes de torturar os animais.
guilt;Quando são necessárias desculpas, e eu próprio evito de me desculpar.
joy;O nascimento dos meus filhos foi o melhor momento da minha vida.
fear;Quando o meu filho de 2 anos subiu e sentou-se na varanda do 7º andar com as pernas penduradas ele podia facilmente ter perdido o equilíbrio e acabar por cair e esse pensamento deixa-me apavorada pela vida dele.
anger;O meu parceiro foi atacado e perdeu três dentes e estava muito enervada por toda a situação.
sadness;É uma situação muito triste ver as crianças de áreas devastadas pela seca e pela guerra.
disgust;Quuase andei em cima de uma ténia e depois vi-a rastejar para longe.
shame;Por causa de dificuldades respiratórias o meu filho de 18 anos teve de começar a usar uma máscara de oxigénio, tudo porque fui inconsciente e não deixei de fumar, sinto-me muito culpado.
guilt;Sinto um sentimento de culpa porque o meu filho do meio não se pode expressar como as outras crianças, nem verbalmente nem por escrito.
joy;Quando o meu filho nasceu foi o dia mais alegre da minha vida.
fear;Num dia de inverno quando o gelo estava a derreter, eu estava longe numa canoa e espetei o gelo com um longo ramo para tentar quebrá-lo. a O ramo atravessou o gelo e eu caí, então a água fechou-se por cima da minha cabeça e fiquei apavorado com medo de morrer afogado.
anger;É enervante quando pessoas que me são próximas às vezes acusam-me e à minha forma de agir, de forma injusta.
sadness;Falha de um exame.
disgust;Houve um dia que uma pessoa bebada caiu, começou a sangrar e a molhar-se.
shame;Quando, como adulto, fui apanhado a mentir ou a comportar-me mal.
guilt;Quando estou num ambiente ou com uma pessoa muito pior do que eu, apercebo-me de como sou privilegiado.
joy;No outro dia revi uma pessoa que já não via há muito tempo e senti-me muito bem.
fear;Quando era criança, quase fui atropelado por um carro, foi aterrorizante.
anger;Quando ouvi na rádio que o jogo de futebol na Bélgica tinha terminado numa catástrofe, e várias pessoas tinham morrido. Não consegui compreender como é que pessoas normais se podiam comportar de tal forma.
sadness;Tenho de estudar muito e estou sempre em silência no meu apartamente onde acabo por me sentir bastante sozinho e isolado.
disgust;Quando se aprende através dos meios de comunicação social todas as guerras e assassinatos que acontecem no mundo.
shame;Menti, para ser mais preciso, cancelei uma reunião com um bom amigo e fiquei envergonhado.
guilt;Desiludi os meus amigos.
joy;Fui aceite para um curso de finanças e contabilidade, foi fantástico.
fear;Um autocarro passou por cima da minha perna direita. O evento em si não foi muito assustador, mas quando tive de esperar três horas na ala de emergência e depois ver a minha perna começou a inchar deixou-me assustado.
anger;No meu trabalho de Verão, ninguém cuidou de mim em particular e eu tive de aprender tudo sozinho.
sadness;Não fui aceite como estudante de finanças e contabilidade.
disgust;Tinha acabado de me mudar para o meu novo apartamento e encontrei um ventilador na cozinha, quando o ia limpar descobri que o tambor estava cheio de lama e lodo, foi horrível e nojento.
shame;O meu irmão mais velho e eu nem sempre tivemos uma boa relação e sinto vergonha de mim próprio, pois hoje em dia não o chamo para conversar.
guilt;No meu emprego de Verão, foi contratado um novo zelador com a mesma idade que eu, mas eu preferia sair para almoçar com o pessoal de contabilidade do que com ele e sinto culpa por ele ficar sozinho.
joy;Passei um exame por 2 pontos, foi stressante mas fiquei muito feliz.
fear;Numa casa de campo numa grande floresta estive sozinho durante algum tempo no escuro.
anger;Falei com Jan-Erik Wikström ao telefone e não gostei da conversa, fiquei chateado. 
disgust;Vi um aleijado vestido com trapos acompanhado de crianças pequenas em Itália. Ele era provavelmente um impostor e achei a situação horrível.
shame;Disse a um amigo que ia a uma festa e que ele não se divertiria se aparecesse. Ele compreendeu que não se teria encaixado e que havia algo nisso.
guilt;Eu era a razão por detrás da ruptura da relação do meu amigo com a sua namorada e ela terminou com ele.
joy;Passei um exame em que tinha a certeza absoluta de que tinha chumbado, foi uma grande alegria.
fear;No regresso da Dinamarca com um amigo num pequeno iate, houve uma tempestade e o meu amigo foi levado ao mar, fiquei muito assustado até conseguir trazê-lo de volta a bordo.
anger;Tranquei-me do lado de fora, fui estúpido.
sadness;Perdi o último eléctrico para casa e tive de caminhar com a chuva torrencial.
disgust;Encontrei algumas minhocas na comida e obviamente tinha comido algumas, foi nojento.
shame;O meu amigo estava tão intoxicado que a polícia veio e levou-o embora, foi embaraçoso e mais tarde contactaram os seus pais.
guilt;Por acaso, ouvi algo que não estava destinado a ouvir.
joy;Quando ganhei uma viagem à Grécia, numa competição.
fear;Estava no escuro e uma pessoa de aspecto suspeito vem ter comigo, o medo na altura foi enorme.
anger;No trabalho, quando um idoso se queixava injustificadamente e desconfiava de mim.
sadness;Eu não compreendi nada depois de uma palestra e fiquei triste.
disgust;Um dia, um alcoólico ficou a babar por cima de um balcão de comida, que pessoa porca.
shame;O meu amigo e eu estávamos a discutir a boa aparência de uma pessoa e quando nos apercebemo-nos de que ele tinha estado a ouvir ficámos muito envergonhados.
guilt;Queixei-me de um colega de trabalho ao meu gerente e ele disse-lhe que alguém se tinha queixado, este colega veio ter comigo acreditando que eu gostava dela.
joy;FuiV à festa de aniversário de um amigo onde estavam presentes alguns dos meus amigos mais próximos e foi um dia muito agradável.
fear;A caminho de casa, numa sexta-feira à noite, na chuva intensa, o carro deslizou na água e derrapou. Perdi o contacto com a superfície da estrada durante alguns segundos e estava com medo de ter um acidente.
anger;Estou zangado com o meu pai.
sadness;Tive um caso de amor não correspondido.
disgust;Um pepino mal cheiroso é nojento.
shame;Quase que fui apanhado a masturbar-me no outro dia, senti tanta vergonha.
guilt;Não ajudo o suficiente em casa.
joy;Senti-me muito feliz quando ganhei o jogo de futebol.
fear;Voei de Atenas para Copenhaga depois de umas férias e o avião foi apanhado por uma tempestade e começou a tremer e eu pensei que o avião ia despenhar-se e iamos morrer.
anger;Alguém roubou a minha bicicleta, porra.
sadness;Vi a lista de livros que tinha de ler para um curso de contabilidade e pensei: Oh Deus, como é que alguma vez a irei gerir.
disgust;Li um artigo de jornal sobre o futuro, e eles previram que estaríamos a comer hambúrgueres de sapo até ao ano 2000. Uma ilustração mostrava um sapo entre dois pedaços de pão e era completamente nojento.
shame;Deixei cair uma garrafa na loja de licores e toda a gente começou a rir, foi muito vergonhoso.
guilt;Quando tinha 14 anos, assaltei uma loja e fui apanhada. A loja contactou os meus pais e fiquei muito mal.
joy;Quando a família inteira reune-se para uma semana de férias, todos sentem-se livres e a viagem é bem planeada. Tudo funciona bem, e nós divertimo-nos.
fear;Certo dia eu não conseguia encontrar a minha filha de 2 anos, corri pela casa toda à procura dela e não a consegui encontrar, o medo foi tão grande... Passado algum tempo finalmente encontrei-a, ela tinha ido para a cama dormir.
anger;Fico muito enervada quando amigos tentam deitar-me abaixo ou magoar-me.
sadness;Crises matrimoniais deixam-me triste.
disgust;Quando alguém tenta fazer avanços amorosos que a outra pessoa não quer.
shame;A descoberta de apenas pensámos em nós mesmos é algo vergonhoso.
guilt;Sinto muita culpa quando espanco uma criança quando estou enervado e mais tarde arrependo-me imenso.
joy;Quando passei no meu primeiro exame fiquei muito animada.
fear;Conduzi para Estocolmo pela primeira vez e quando saí da estrada na saída errada fiquei apavorada.
anger;Senti muita raíva quando o meu namorado foi de férias durante um mês sem mim.
sadness;No ano passado durante as férias de Verão, tive um momento muito triste, onde estava a trabalhar e a estudar ao mesmo tempo para um exame enquanto o meu namorado estava de férias na Grécia durante um mês.
disgust;Quando abandonam um cão a chorar à porta de uma loja sinto muito nojo das pessoas que abandonaram o pequeno animal.
shame;Prometi ajudar um amigo durante o fim-de-semana e não cumpri a promessa, senti muita vergonha.
guilt;Quando percebi que tinha de fazer mais três exames senti-me culpada.
joy;No dia em que me disseram que tinha sido aceite como estudante de economia fiquei tão feliz.
fear;Enquanto fazia um atalho pelo parque, estive rodeado por três pessoas que estavam a tentar roubar-me dinheiro. Fiquei assustado e fui salvo apenas quando outras pessoas apareceram.
anger;Num restaurante, observei como ciganos tentavam arranjar dinheiro enganando os estrangeiros. A minha raiva não tinha nada a ver com ódio contra os ciganos, mas era uma expressão da raiva que sinto quando vejo pessoas a serem usadas.
sadness;No início de um novo curso, fico com medo de encontrar problemas que não consigo resolver. Os pensamentos giram em torno do fracasso e das consequências dos fracassos para o futuro.
disgust;Enquanto caminhava pela cidade, reparei como a polícia assediava um homem que estava sob a influência do álcool. Aterrorizaram-no com a ideia de o prender. O meu desgosto foi dirigido aos gestos e às expressões faciais dos polícias.
shame;Quando o meu namorado revelou que sabia que eu tinha descoberto coisas importantes sobre ele, senti-me envergonhada porque não o tinha mencionado antes.
guilt;Fui desonesta para com um amigo de quem sou muito próxima e sinto-me culpada porque sei que ele dá uma versão diferente da verdade, e não corrigi esses erros, e ele está ciente de que sei que estão errados.
joy;Descobri que tinha passado os dois últimos exames por uma margem de três pontos.
fear;O meu pai estava doente e estava à espera dos resultados dos seus exames, estávamos todos com medo.
anger;Fui apanhado pela chuva torrencial da última quinta-feira e não tinha uma gabardina, fiquei tão enervado.
sadness;Fiquei muito triste quando chumbei num exame.
disgust;Numa mesa de Smorgasbord, um homem misturou diferentes tipos de arenques em conserva com salada de fruta foi nojento.
shame;Senti muita vergonha porque não tinha preparado a minha contribuição para o grupo tão minuciosamente como os outros membros, o resultado global foi mau.
guilt;Eu e o meu pai trabalhámos na casa logo após ele ter recuperado de uma doença e eu era bastante preguiçoso. Por causa disso, ele teve de trabalhar arduamente e mais tarde ficou pior de saúde, o que eu fiz foi errado e arrependo-me muito.
joy;Quando dei à luz o meu filho e vi que ele estava vivo fiquei muito aliviada e feliz. Ele nasceu um mês demasiado cedo, com um pulmão a funcionar mal.
fear;Quando descobrimos que o meu pai tinha cancro do pulmão e os médicos não sabiam quanto tempo ele iria viver a familia ficou com muito medo.
anger;Um colega pediu-me ajuda no trabalho e fiquei com raiva dele porque ele tem mais tempo para o fazer a tarefa do que eu tinha.
sadness;Quando não recebi o aumento de salário que estava à espera fiquei muito triste e finalmente compreendi como o meu trabalho não é apreciado.
disgust;Quando eu estava a limpar o meu jardim, um lagarto na minha mão ficou na minha mão e foi horrível.
shame;Quando reencontrei uma amiga que já não via há muito tempo e ouvi todos os problemas dela fiquei com vergonha de mim memso por não ter entrado em contacto com ela mais cedo.
guilt;Fiquei zangado com a minha mãe por algo trivial e senti muita culpa. Estávamos de mau humor porque o meu pai estava muito doente e eu sabia que a minha mãe precisava de apoio e eu reagi mal.
joy;A noite de Ano Novo de 1983/1984 foi o dia mais feliz da minha vida porque conheci a minha namorada. Estávamos nas escadas à porta da casa dos pais dela e eu beijei-a pela primeira vez.
fear;Quando fui detido por polícias à paisana porque o carro que conduzia tinha capotado na avenida fiquei com medo de ser preso. Eu tinha estado a conduzir demasiado depressa, e tive medo quando fui parado, interrogado e depois mandado embora. A situação teve um final, uma vez que não houve consequências.
anger;Quando editor mudou o título do meu artigo fiquei enervado porque o editor considerou o título depreciativo em relação à pessoa sobre a qual eu tinha escrito.
sadness;Um conhecido próximo da família morreu de cancro do pulmão. Embora fosse esperado, eu ainda fiquei deprimido.
disgust;Quando vi uma fotografia no Posto de Gotemburgo de um carro totalmente demolido com dois passageiros feridos fatalmente senti-me horrível e enojado. O carro estava tão danificado que não conseguiram retirar os corpos do local do acidente.
shame;Uma noite tive relações sexuais com outro homem e senti imensa culpa. O meu desejo sexual e a minha curiosidade fizeram-me saltar para a cama com ele. Agora tenho vergonha de mim mesma.
guilt;Devido à preguiça, falhei completamente o termo estudos numa universidade. Também queria, em certa medida, protestar contra as expectativas dos meus pais.
joy;Quando consegui o empréstimo para os meus estudos fiquei entusiasmada.
fear;Numa quarta-feira à noite, conheci pessoas intoxicadas com intenções duvidosas num beco sem saída e fiquei assustado.
anger;Na televisão, vi uma reportagem sobre a África do Sul e senti tanta raíva. Um polícia atacou um grupo de pessoas negras com um chicote.
sadness;A ideia de ter de ler um livro aborrecido de 400 páginas em inglês.
disgust;Gente resmungona.
shame;A minha incapacidade de me afirmar positivamente num grupo.
guilt;Sinto sentimentos de culpa porque não estudo o suficiente.
disgust;Observar alguém na cafetaria a engolir ruidosamente a sua comida, a ter maneiras extremamente más.
shame;Acho que muitas vezes tenho tido vergonha depois de ter falado mal de outras pessoas.
guilt;Tendo ficado zangado e desagradável para com os meus pais.
joy;Quando a minha irmã - após uma história de um aborto e de um natimorto - deu à luz um rapaz perfeitamente saudável.
fear;Quando a minha irmã teve o nado-morto, ela estava emocionalmente muito profundamente envolvida, e demorou muito tempo a recuperar.
anger;Estávamos a iniciar um projecto estudantil, e o professor com quem falámos foi muito negativo e pouco útil.
sadness;Quando o meu namorado me desiludiu abertamente, preferindo outra rapariga.
disgust;Senti alguma repugnância pelo meu namorado durante algum tempo, depois de ele me ter deixado.
guilt;Antes de um acidente, a minha tia ofereceu-me o banco da frente do carro, ao lado do condutor. Eu recusei, e ela tomou esse lugar e morreu ali quando o carro se despenhou.
joy;Visita inesperada de um amigo próximo, que eu não via há meio ano.
fear;Vaguei por engano para a zona de segurança de uma carreira de tiro e fui alvejado.
anger;Ser tratado de forma injusta.
sadness;Acabar com uma rapariga.
guilt;Pouco contacto com o meu pai antes da sua morte.
joy;Quando fui aceite como estudante no colégio, não tendo pensado que era possível.
fear;Quando fui o primeiro a chegar ao local após um acidente e descobri que um amigo próximo da escola tinha sido morto.
anger;Fui acusado de ter feito algo, o que não tinha feito e fiquei muito zangado.
sadness;Quando a minha avó morreu.
joy;Há alguns anos, durante as férias de Verão, eu estava a pescar num lago com o meu marido. De repente, começou a chover enquanto o sol ainda brilhava. Senti uma sensação de alegria, felicidade e realização. toda a natureza estava cheia de música.
fear;Eu estava sozinha em casa, na cama a ler uma revista feminina em que se contavam histórias de experiências paranormais. A minha perna estava com comichão e estiquei a mão para coçar e senti outra mão estranha. (mais tarde percebi que era o canto do cobertor).
anger;Fui a uma palestra e, mais uma vez, tinha sido cancelada, esta era a segunda vez. Tinha-se uma atitude negativa em relação ao conferencista.
sadness;Soube que um antigo superior meu tinha morrido, estive mais tarde em casa a ler sobre o assunto no jornal e pensei na nossa interacção e em como já não era possível. O âmbito limitado da vida humana é triste.
disgust;No eléctrico, estava à minha frente uma mulher gorda, de aspecto doente, que me pedia indicações com uma voz grossa. Quando ela se levantou para ir, um cheiro nojento de urina veio dela. Senti que me ia engasgar.
shame;Quando estávamos em casa, o meu marido e eu, fizemos uma observação sobre algo que eu tinha feito, de uma forma perfeitamente amigável. O meu ato tinha sido injusto e eu sabia que o meu marido tinha razão, portanto o meu sentimento de vergonha.
guilt;Fiz uma observação à minha irmã sobre a sua atitude para com os homens, e sobre a forma como ela falava e eu comparava-a a um conhecido meu. Mais tarde, na mesma noite, a minha irmã pareceu-me triste. Senti-me culpado pela sua tristeza.
joy;Tive um emprego de Verão na Suécia, e o meu namorado veio encontrar-se comigo no meu aniversário.
fear;Fui praticar na Suécia durante o Verão, e tive medo de não me sair bem.
anger;Na cabana de férias da nossa associação, dois dos meus amigos vieram acordar-me cedo uma manhã, trazendo para o meu quarto uma peça de rádio no volume mais alto - era o serviço da manhã no seu volume mais alto.
sadness;A minha avó morreu repentinamente no Verão passado.
disgust;O meu superior no serviço de Verão enganou os clientes o mais que pôde, e uma vez colocou-me numa situação difícil, após a qual não pude deixar de o detestar.
shame;Uma vez cheguei duas horas atrasado ao meu local de trabalho (um banco) e ainda me sentia débil e cansado.
guilt;A nossa associação teve visitantes polacos e quando regressavam de barco eu não os fui ver (sou o presidente da associação).
joy;Disseram-me inesperadamente que se queria que eu fosse o vice-presidente da nossa organização estudantil. Fiquei realmente surpreendido e a alegria foi a primeira emoção que senti, embora por detrás dela houvesse preocupação - como é que vou conseguir?
fear;O nosso grupo de tutoria estava prestes a ser dividido, e recebemos uma lista de nomes de caloiros, dos quais cinco deveriam estar no meu grupo. Lemos os nomes e depois cada grupo seguiu o seu próprio caminho para uma sala de seminários. Interroguei-me como iria lidar com a nova situação e se iria ter sucesso como líder de grupo.
anger;Estávamos numa discoteca e a noite não foi nada agradável. a Apesar de eu não saber porque estava zangado com o meu companheiro. Deixei-o sentir o meu mau humor, pois não consigo esconder os meus sentimentos.
sadness;A minha avó morreu, e a minha mãe telefonou-me numa manhã de domingo no Outono. Da forma como a minha mãe me falou, eu odiava-a e, naquele momento, odiei-a. Ela soou como se tivesse estado à espera da morte da minha avó. Eu tinha perdido uma pessoa próxima de mim. Também eu me sentia culpado, pois tinha sido mau para a minha avó nos últimos tempos. Não tinha permanecido calmo quando ela já não compreendia tudo tão bem.
disgust;Na estação do metro, um bêbado veio falar comigo. Ele tentou perguntar-me algo mas eu não respondi, pelo que começou a falar de mim com a sua companheira. Eu detestava este rosnador sujo.
shame;Estava preocupado com uma tarefa relacionada com os meus estudos, que tinha de ser feita em grupos de dois. Estava a falar disso aos meus amigos quando disse algo negativo, de forma demasiado abrupta, sobre o meu companheiro de trabalho. Não falei a sério e senti-me envergonhado por ter sido suficientemente mau para o criticar, uma vez que ele também é meu amigo.
guilt;Disse ao meu namorado que não queria continuar com a nossa relação. Eu sabia que era importante para ele, mas queria ser livre. Vi que isto era difícil para ele, mas mantive-me firme e não mudei de ideias.
joy;Ontem à noite tive uma conversa com um colega estudante. Conhecia-a há cerca de meio ano, e pela primeira vez, estávamos a falar a mesma língua - o que significava uma discussão inspiradora e um encontro.
anger;Por vezes discuto com a minha mãe porque ela me culpa, embora eu não tenha estado de modo algum ligado a alguns acontecimentos.
sadness;Depois de ouvir falar da morte do meu avô. No início, não pude acreditar, mas mais tarde chorei e senti que a situação era desesperada. Senti-me só e queria ser consolado.
disgust;À noite, enquanto eu estava a ver televisão, o meu irmãozinho entrou e começou a comer comida que tinha trazido da cozinha enquanto eu tentava concentrar-me no programa.
shame;O meu irmão mais novo foi preso pela polícia na estação ferroviária, depois de ter bebido alguma cerveja.
guilt;No meu trabalho temporário, tenho de restringir as acções dos outros e obrigá-los a obedecer-me, e isto dá-me muitas vezes um sentimento de culpa. Quem me dera que houvesse outra forma de agir.
joy;Conheci um querido amigo meu depois de muito tempo. Expressei os meus sentimentos à nossa maneira habitual, repreendendo e abusando mutuamente (com total compreensão) e tocando, dando palmadinhas e pegando na mão da outra pessoa, etc.
fear;Senti medo do tipo mais puro depois de um acidente de carro. O incidente e as imagens de horror voltavam-me sempre à mente. Perguntava-me o que poderia ter acontecido à minha irmã, ao meu amigo e a mim, embora nada de muito grave tivesse realmente acontecido.
anger;Dois rapazes que conheço estavam a dizer-me, de forma indecente, como tinham provocado uma rapariga jovem e tímida que conheço. Eles tinham desprezado a sua convicção, desprezado e tocado nela. Fiquei muito zangado e não tentei escondê-la e devolvi-lha.
sadness;A minha querida deixou-me, ou melhor, decidimos acabar com ela por mútuo consentimento. As consequências foram - choro desenfreado, sentimentos de solidão, desesperança e desconsolação. Senti que devia encontrar um amigo, para falar com alegria e esquecer.
disgust;Por pura curiosidade, fui ver um filme pornográfico em Copenhaga. A sala estava cheia de homens, que se masturbavam e se masturbavam. Muito nojento.
shame;Depois de ter discutido desnecessariamente e sem qualquer razão, e de ter sido estupidamente atravessado em todos os sentidos.
guilt;Forçado a preencher um questionário.
joy;Quando ganhei um jogo de ténis.
fear;Quando o meu cão ficou sem gelo fino, na Primavera passada.
anger;Quando o meu jogo de ténis foi interrompido porque um miúdo entrou de bicicleta directamente no campo.
joy;Celebrações no dia da formatura com a orquestra a tocar num jardim (faço parte desta orquestra).
fear;Risco de estar envolvido numa luta depois de uma festa.
anger;Tive uma carga de trabalho muito pesada e dois colegas, contra os quais nada tenho contra, perturbaram-me com o toque de terror, ou seja, interromperam-me continuamente por telefone.
sadness;Depois de um exame que reprovei.
shame;Quando ultrapassei um carro na estrada principal, julgando mal a distância de um carro em sentido contrário, o que resultou em buzinas e flashes do outro condutor (podíamos ter colidido), e eu tinha comigo um conhecido no carro.
guilt;Vi um vizinho, do mesmo bloco de apartamentos que eu, deitado na estrada. Ele podia ter-se ferido ou estar doente. Mantive-me a 20 metros de distância e não fui para o ajudar.
joy;Quando conheci um velho amigo de escola (amor de escola) que trabalha num Sk+vde.
fear;Quando andava de bicicleta para a escola, quase fui atropelado por um carro que (me ultrapassou demasiado de perto) e não me deu qualquer espaço de manobra.
anger;Quando fui vice-gerente durante o Verão, certos deputados tomaram liberdades, mais do que o normal.
sadness;Quando me apercebi que a minha namorada, de quem gosto, e eu íamos separar-nos.
disgust;Sujeira de cão que derrete na Primavera.
shame;Quando me esqueci do aniversário da minha mãe.
guilt;Não consigo pensar em nada agora mesmo.
joy;Passei no último exame.
fear;Foi quase atropelado por um carro.
anger;Cheguei à paragem do autocarro e percebi que me tinha esquecido do meu passe de autocarro.
sadness;A minha carga de trabalho actual é demasiada. A sensação regressa de tempos a tempos.
joy;Quando o meu filho de um ano me dá um beijo espontâneo.
fear;Quando alguém próximo de mim viaja de carro e está atrasado.
anger;Quando alguém faz algo errado, isso afecta-me negativamente.
sadness;Quando penso nos meus pais a envelhecerem.
guilt;Não tenho tempo para os problemas de outras pessoas. A minha sogra está por vezes deprimida e eu não tenho tempo, desejo ou força para ajudar.
joy;Um ex-colega perguntou-me se eu estava interessado em trabalhar no seu departamento de contabilidade. Eles precisavam de pessoas inteligentes e ele tinha pensado imediatamente em mim.
fear;Eu estava a conduzir e de repente apareceu um veado à frente do carro quando havia muito trânsito atrás de mim.
anger;Vi uma reportagem nas notícias da televisão sobre o apartheid na África do Sul.
joy;Quando a minha namorada ficou grávida.
fear;Quando eu quase colidi com outro carro.
anger;O tempo em que alguém deixava sair o ar dos pneus da minha bicicleta.
sadness;Quando li muito e não me lembrava de nada.
guilt;O tempo em que tive de pôr o meu cão a dormir.
sadness;Doença prolongada.
joy;Quando passei num exame.
fear;Quando viajava de eléctrico, tropecei e caí contra a porta. Pensei que ia cair.
anger;Quando perdi o eléctrico, depois de ter corrido para ele.
sadness;A incapacidade de ler um livro na faculdade.
disgust;Se um tipo em quem não se está interessado, faz progressos.
shame;Eu bebo vinho com demasiada frequência.
guilt;Não estudo o suficiente porque não o entendo correctamente.
joy;Trabalhei no escritório de um advogado durante o Verão e recebi dele uma referência muito boa.
fear;Tinha estado a ver um thriller numa noite escura no campo e tive de ir à casa de banho exterior por minha conta. 
anger;Quando sou acusado de algo que não fiz, fico incrivelmente zangado.
sadness;Quando comecei a ler um livro espesso, que tinha pouco tempo para ler. Também quando tenho muito trabalho para fazer e não consigo acompanhar o ritmo.
disgust;Alguém vomitou na rua.
shame;Não consigo pensar em nenhum incidente quando me sinto muito envergonhado. Há pequenos incidentes de que me envergonho, por exemplo, por não enviar dinheiro para as crianças na Etiópia.
guilt;Almocei com o meu ex-namorado e não o mencionei à minha noiva. Senti-me culpada apesar de não ter sentido nada pelo meu ex-namorado.
joy;Quando finalmente fui qualificada para a minha profissão.
fear;Alguém me atacou com uma faca.
anger;Alguém entrou no meu carro e depois negou que isso tivesse acontecido.
sadness;Quando me foi dito que a mulher do meu amigo tinha cancro.
disgust;Quando vi um cão que tinha sido atropelado por um carro.
shame;Quando encaixotei as orelhas do meu filho.
guilt;Quando fui multado por excesso de velocidade.
joy;Deixei de trabalhar (tinha um trabalho aborrecido).
fear;Uma noite, quando estava frio, escuro e ventoso, ia para casa de carro até tarde. Fiquei bastante em pânico no caminho para a minha casa.
anger;Uma desavença na família.
sadness;Quando estou sozinho numa sala sem contacto com ninguém - a solidão esgota-me.
disgust;Quando estava de férias, alguém vomitava à minha frente.
shame;Esvaziei um balde de água num hospital.
guilt;Quando fingi baixa por doença do trabalho.
joy;Quando recebo um abraço de alguém que amo.
fear;Estava a conduzir muito depressa numa pequena estrada e encontrei um carro em sentido contrário numa curva para a direita. O outro condutor estava no seu próprio lado da estrada e eu tive de derrapar para evitar uma colisão. Estava escuro.
