sentiment;text
joy;Fiquei feliz depois da minha namorada ter terminado o seu exame e fomos para a casa dos pais dela.
joy;Fiquei feliz namorada terminar exame casa pai de ela.
fear;Senti muito medo quando me apercebi do significado da morte.
fear;sentir medo apercebi significado morte.
anger;Fico com raiva quando um carro está a fazer uma ultrapassagem a outro carro e sou forçado a sair da estrada.
anger;Fico raiva carro ultrapassagem outro carro forçar sair estrada.
sadness;Fiquei triste quando começei a pensar no trabalho árduo que é necessário para estudar, e como prefiro fazer outra coisa ao invés de estudar. Também fico triste quando leio um livro teórico em inglês que não entendo.
sadness;Fiquei triste começei pensar trabalho árduo necessário estudar prefiro invés estudar fico triste leio livro teórico inglês entendar.
disgust;Quando encontrei uma cerda no tubo de pasta de fígado senti desgosto.
disgust;encontrar cerda tubo pasta fígado sentir desgosto.
shame;Quando estava cansado e desmotivado, gritei à minha namorada e trouxe à tona os lados negativos dela, que na realidade não são tão importantes. Senti-me muito culpado.
shame;cansado desmotivar gritar namorada trazer tona lado negativo de ela realidade importante culpado.
guilt;Sinto culpa quando penso que não estudei o suficiente. Depois do fim-de-semana, acho que já deveria ter completado alguma coisa durante esse tempo.
guilt;Sinto culpa pensar estudar suficiente achar dever completar algum durante.
joy;Fico feliz quando sou aprovado num exame onde achava que não tinha corrido tão bem.
joy;Fico feliz aprovar exame achar ter corrir.
fear;Quando alguém marca um encontro e a outra pessoa chega atrasada, entretanto a outra pessoa começa a pensar em tudo o que poderia ter corrido mal, por exemplo, um acidente de trânsito.
fear;alguém marcar encontro pessoa chegar atrasado entretanto pessoa começar pensar poder corrir acidente trânsito.
anger;Quando se é injustamente acusado de algo que não se fez.
anger;injustamente acusar.
sadness;Quando os estudos de alguém parecem desesperadamente difíceis e desinteressantes.
sadness;estudo alguém parecer desesperadamente difícil desinteressante.
disgust;Quando se descobre que alguém que se conhece não é de todo como se se tivesse pensado, por exemplo, em amigos que roubam e coisas do género, bastante injustificadas.
disgust;descobrir alguém conhecer ter pensar amigo roubar coisa género injustificado.
shame;Quando se tem sido injusto, estúpido para com outra pessoa.
shame;ser injusto estúpir pessoa.
guilt;Quando se negligenciou ou foi injusto para com um bom amigo.
guilt;negligenciar injusto amigo.
joy;Ao passar um exame não esperava passar.
joy;passar exame esperar passar.
fear;Quando subi a uma árvore para apanhar maçãs. O ângulo da escada em que eu estava não me permitiu ficar suficientemente alto. Isto implicava que a escada não era muito estável.
fear;subi árvore apanhar maçãs ângulo escada permitir ficar suficientemente alto implicar escada estável.
anger;Amigos que torturam animais.
anger;amigo torturar animal.
sadness;Amigos que magoam animais indefesos.
sadness;amigo magoar animal indefeso.
disgust;Amigos que magoam os animais.
disgust;amigo magoar animal.
shame;Pessoas que torturam os animais.
shame;Pessoa torturar animal.
guilt;Quando são necessárias desculpas, e eu próprio saio de o fazer.
guilt;necessário desculpa saio.
joy;Quando tive os meus filhos.
joy;filho.
fear;Quando o meu filho de 2 anos subiu e sentou-se na varanda do 7º andar com as pernas penduradas. Ele agarrava-se firmemente à grade superior da varanda, mas podia facilmente ter perdido o equilíbrio quando se sentou.
fear;filho ano subir varanda andar perna pendurar firmemente grade alto varanda facilmente perder equilíbrio sentar.
anger;Quando o meu parceiro foi atacado e perdeu três dentes.
anger;parceiro atacar perder dente.
sadness;Quando vejo na televisão crianças de áreas devastadas pela seca e pela guerra.
sadness;vejo televisão criança área devastar seca guerra.
disgust;Quando quase andei sobre uma ténia e depois a vi a rastejar para longe.
disgust;quase andar ténia ver rastejar.
shame;Quando vi o meu filho de 18 anos agarrar uma máscara de oxigénio, pois tinha dificuldades respiratórias. Tinha uma má consciência porque não tinha deixado de fumar. A medicação para a dilatação dos seus tubos respiratórios também causou em mim um sentimento de culpa.
shame;ver filho ano agarrar máscara oxigénio ter dificuldade respiratório ter má consciência ter deixar fumar medicação dilatação tubo respiratório causar eu sentimento culpa.
guilt;Sinto um sentimento de culpa porque o meu filho do meio não se pode expressar como as outras crianças, nem verbalmente nem por escrito.
guilt;Sinto sentimento culpa filho expressar criança verbalmente escrito.
joy;Quando o meu filho nasceu.
joy;filho nascer.
fear;Era Inverno/primavera e o gelo estava a derreter. Eu estava longe, num molhe e pquei o gelo com um longo ramo para tentar quebrá-lo. a O ramo atravessou o gelo e eu caí, a água fechou-se por cima da minha cabeça.
fear;inverno primavera gelo derreter molhe pquei gelo longo ramo ramo atravessar gelo caí água cabeça.
anger;Acusações injustas dirigidas a mim e à minha maneira de agir, por alguém próximo de mim. .
anger;acusação injusto dirigir eu maneira agir alguém eu.
sadness;Falha de um exame.
sadness;Falha exame.
disgust;Um bêbado caiu, começou a sangrar e a molhar-se. Um desgosto que se transformou em tristeza-amorosa.
disgust;bêbado cair começar sangrar desgosto transformar.
shame;Quando, como adulto, fui apanhado a mentir ou a comportar-me mal.
shame;adulto apanhar mentir.
guilt;Quando estou num ambiente ou com uma pessoa muito pior do que eu, apercebo-me de como sou privilegiado.
guilt;ambiente pessoa mau privilegiar.
joy;Quando vejo uma pessoa que já não via há muito tempo.
joy;vejo pessoa ver haver.
fear;Quando, em criança, quase fui atropelado por um carro.
fear;criança quase atropelar carro.
anger;Quando ouvi na rádio que o jogo de futebol na Bélgica tinha terminado numa catástrofe, e várias pessoas tinham morrido. Não conseguia compreender como as pessoas normais se podiam comportar de tal forma.
anger;ouvir rádio jogo futebol Bélgica ter terminar catástrofe várias pessoa ter morrer conseguir compreender pessoa normal poder comportar.
sadness;Quando me sinto só, talvez porque tenho de estudar muito e estou calado no meu apartamento. Nada acontece, em particular, a porque não há tempo para mais nada.
sadness;sinto estudar calado apartamento acontecer particular haver.
disgust;Quando se aprende através dos meios de comunicação social todas as guerras e assassinatos que acontecem no mundo.
disgust;aprender meio comunicação social guerra assassinato acontecer mundo.
shame;Menti, para ser mais preciso, cancelei uma reunião com um bom amigo.
shame;menti preciso cancelei reunião amigo.
guilt;Quando se desilude os amigos.
guilt;desiluder amigo.
joy;Quando fui aceite para um curso sobre finanças e contabilidade.
joy;aceitar curso finanças contabilidade.
fear;Um autocarro passou por cima da minha perna direita. O evento em si não foi muito assustador, mas quando tive de esperar três horas na ala de emergência e depois a minha perna começou a inchar, fiquei assustado.
fear;autocarro passar perno evento si assustador esperar hora ala emergência perna começar inchar fiquei assustar.
anger;No meu trabalho de Verão, ninguém cuidou de mim em particular e eu tive de aprender tudo sozinho.
anger;trabalho Verão ninguém cuidar eu particular aprender sozinho.
sadness;Quando não fui aceite como estudante de finanças e contabilidade.
sadness;aceitar estudante Finanças contabilidade.
disgust;Quando tinha acabado de me mudar para o meu novo apartamento, encontrei um ventilador na cozinha. Ia limpá-lo quando descobri que o tambor estava cheio de lama e lodo. Senti-me enojado.
disgust;ter acabar mudar apartamento encontrar ventilador cozinha Ia descobrir tambor cheio lama lodo enojar.
shame;O meu irmão mais velho e eu nem sempre tivemos uma boa relação e sinto vergonha de mim próprio, pois hoje em dia não o chamo para falar com ele.
shame;irmão velho sinto vergonha eu hoje dia chamar falar.
guilt;No meu emprego de Verão, tinha sido contratado um novo zelador com a minha idade, mas preferia sair para almoçar com o pessoal de contabilidade do que com ele.
guilt;emprego Verão ter ser contratar zelador idade preferir sair almoçar pessoal contabilidade.
joy;Passei um exame por 2 pontos.
joy;Passei exame.
fear;Numa casa de campo numa grande floresta, estive sozinho durante algum tempo no escuro.
fear;casa campo floresta sozinho durante algum escuro.
anger;Quando falei com Jan-Erik Wikström ao telefone. .
anger;falar Wikström telefone.
sadness;Adeus estação ferroviária.
sadness;estação ferroviário.
disgust;Vi um aleijado em trapos com crianças pequenas em Itália. Ele era provavelmente um impostor.
disgust;Vi aleijado trapo criança pequeno Itália provavelmente impostor.
shame;Disse a um amigo que ia a uma festa e que ele não se divertiria se aparecesse. Ele compreendeu que não se teria encaixado e que havia algo nisso.
shame;dizer amigo ir festa divertir aparecer compreender ter encaixar haver em isso.
guilt;Eu era a razão por detrás da ruptura da relação do meu amigo com a sua namorada. Ela terminou com ele.
guilt;razão detrás ruptura amigo namorada terminar.
joy;Passei um exame em que tinha a certeza absoluta de que tinha chumbado.
joy;Passei exame ter absoluto ter chumbar.
fear;No regresso da Dinamarca com um amigo num pequeno iate, houve uma tempestade e o meu amigo foi levado ao mar, fiquei muito assustado até conseguir trazê-lo de volta a bordo.
fear;regresso Dinamarca amigo pequeno iate haver tempestade amigo levar mar fiquei assustar conseguir volta bordo.
anger;Tranquei-me lá fora.
anger;.
sadness;Perdi o último eléctrico para casa e tive de caminhar com a chuva torrencial.
sadness;Perdi eléctrico casa caminhar chuva torrencial.
disgust;Encontrei algumas minhocas na comida e obviamente tinha comido algumas.
disgust;Encontrei minhoca comida obviamente ter comer.
shame;O meu amigo estava tão intoxicado que a polícia veio e levou-o embora, e mais tarde contactaram os seus pais.
shame;amigo intoxicado polícia vir contactar pai.
guilt;Por acaso, ouvi por acaso algo que não estava destinado a ouvir.
guilt;acaso ouvir acaso destinado ouvir.
joy;Quando ganhei uma viagem à Grécia, numa competição.
joy;ganhar viagem Grécia competição.
fear;Quando estou no escuro e uma personagem de aspecto suspeito vem ter comigo.
fear;escuro personagem aspecto suspeito comigo.
anger;No trabalho, quando um idoso se queixava injustificadamente de mim e desconfiava de mim.
anger;trabalho idoso queixar injustificadamente eu desconfiar eu.
sadness;Quando eu não tinha compreendido nada depois de uma palestra.
sadness;ter compreender palestra.
disgust;Quando um alcoólico ficou a babar por cima de um balcão de comida.
disgust;alcoólico ficar babar balcão comida.
shame;Quando o meu amigo e eu estávamos a discutir a boa aparência de um tipo, apercebemo-nos de que ele tinha estado a ouvir.
shame;amigo estar discutir aparência ter ouvir.
guilt;Quando me queixei de um colega ao gerente e ele lhe disse que alguém se tinha queixado, este colega veio ter comigo acreditando que eu gostava dela.
guilt;queixei colega gerente dizer alguém ter queixar colega vir comigo acreditar gostar de ela.
joy;Na festa de aniversário de um amigo com alguns dos meus amigos mais próximos. Foi tudo muito agradável e poder-se-ia dizer que eu estava feliz por ter tão bons amigos.
joy;festa aniversário amigo amigo próximo agradável feliz bom amigo.
fear;A caminho de casa, numa sexta-feira à noite, na chuva intensa, o carro aquaplaned. Perdi o contacto com a superfície da estrada durante alguns segundos.
fear;casa noite chuva intenso carro aquaplaned Perdi contacto superfície estrada durante segundo.
anger;Zangado com o meu pai.
anger;Zangado pai.
sadness;Um caso de amor não correspondido.
sadness;caso amor corresponder.
disgust;Um pepino mal cheiroso.
disgust;pepino cheiroso.
shame;Quase apanhado a masturbar-se.
shame;quase apanhar.
guilt;Não ajudo o suficiente em casa.
guilt;ajudor suficiente casa.
joy;Senti-me muito feliz quando ganhei a piscina de futebol.
joy;feliz ganhar piscina futebol.
fear;Quando voei de Atenas para Copenhaga depois de umas férias. O avião foi apanhado por uma tempestade e começou a tremer e eu pensei que nos íamos despenhar.
fear;voeir Atenas Copenhaga féria avião apanhar tempestade começar tremer pensar íamos despenhar.
anger;Quando alguém roubou a minha bicicleta.
anger;alguém roubar bicicleta.
sadness;Quando vi a lista de livros a ler para um curso de contabilidade, pensei: "Oh Deus, como é que alguma vez a irei gerir!.
sadness;ver lista livro ler curso contabilidade pensar Oh Deus algum irei gerir.
disgust;Foi quando li um artigo de jornal sobre o futuro, e eles previram que estaríamos a comer hambúrgueres de sapo até ao ano 2000. Uma ilustração mostrava um sapo entre dois pedaços de pão.
disgust;li artigo jornal futuro previr estaríamos comer hambúrguer sapo ano ilustração mostrar sapo pedaço pão.
shame;Quando deixei cair uma garrafa na loja estatal de bebidas e toda a gente começou a rir.
shame;deixeer cair garrafa loja estatal bebida gente começar rir.
guilt;Quando eu era jovem - 14 anos, fui beliscado de uma loja e fui apanhado. A loja contactou então os meus pais.
guilt;jovem ano beliscar loja apanhar loja contactar pai.
joy;Quando a família inteira se reúne para uma semana de férias, todos se sentem livres e a viagem é bem planeada. Funciona bem, e nós divertimo-nos.
joy;família inteiro reunir semana férias sentar livre viagem planear Funciona.
fear;Quando não consegui encontrar a minha filha de 2 anos, corri e procurei por ela em todo o lado e não a consegui encontrar (finalmente encontrei-a,ela tinha ido para a cama dormir).
fear;conseguir encontrar filha ano corri procurar conseguir encontrar finalmente ter ir cama dormir.
anger;Quando os amigos tentam pôr-me no chão ou magoar-me.
anger;amigo tentar chão.
sadness;Crises matrimoniais. Tédio.
sadness;crise matrimonial tédio.
disgust;Quando alguém faz avanços que não se quer.
disgust;alguém avanço.
shame;A descoberta de que se pensou apenas em si próprio.
shame;descoberta pensar si.
guilt;Quando espanco uma criança com raiva e mais tarde me arrependo terrivelmente.
guilt;espanco criança raiva arreper terrivelmente.
joy;Quando passei no primeiro exame, tive de o repetir.
joy;passar exame repetir.
fear;Quando conduzi para Estocolmo pela primeira vez e saí da estrada Stora Hissingen na saída errada.
fear;conduzir Estocolmo saí estrada Stora Hissingen saída errado.
anger;Quando o meu namorado partiu para umas férias de um mês sem mim.
anger;namorado partir férias eu.
sadness;No ano passado, quando trabalhei durante as férias de Verão e estudei ao mesmo tempo para um exame que tive de repetir, o meu namorado foi à Grécia para umas férias de um mês.
sadness;ano passado trabalhar durante férias Verão estudeer exame repetir namorado Grécia férias.
disgust;Quando um cão é deixado a choramingar à porta de uma loja.
disgust;cão deixar choramingar porta loja.
shame;Quando prometi ajudar um amigo durante um fim-de-semana e não cumpri a promessa.
shame;prometi ajudar amigo durante cumpri promessa.
guilt;Quando percebi que tinha de fazer mais três exames.
guilt;percebi ter exame.
joy;No dia em que me disseram que tinha sido aceite como estudante de economia.
joy;dia dizer ter ser aceitar estudante economia.
fear;Enquanto tomava um atalho pelo parque Vasa, estava rodeado por três pessoas que tentavam roubar-me o dinheiro. Fiquei assustado e fui salvo apenas pelo aparecimento de outras pessoas.
fear;tomar atalho parque Vasa rodeado pessoa tentar dinheiro Fiquei assustar salvo aparecimento pessoa.
anger;Num restaurante, observei como os ciganos tentavam arranjar dinheiro enganando os estrangeiros, isto é, não suecos falando. A minha raiva não tinha nada a ver com ódio contra os estrangeiros, mas era uma expressão da raiva que sinto quando vejo pessoas a serem usadas.
anger;restaurante observeir cigano tentar arranjar dinheiro enganar estrangeiro sueco falar raiva ter ódio estrangeiro expressão raiva sinto vejer pessoa ser usar.
sadness;No início de um novo curso, receia-se encontrar problemas que não se conseguem resolver. Os pensamentos giram em torno do fracasso do sujeito e das consequências que isso teria para o futuro.
sadness;início curso encontrar problema conseguir resolver pensamento girar torno fracasso sujeito consequência ter futuro.
disgust;Enquanto andava na cidade, reparei como a polícia assediava um homem que estava sob a influência do álcool. Aterrorizaram-no com a ideia de o prender, conduzindo por perto atrás dele numa rua para peões. O meu desgosto foi dirigido aos gestos e expressões faciais dos polícias,eles pareciam estar a divertir-se.
disgust;andar cidade reparar polícia assediar homem influência álcool ideia prender conduzir de ele rua peão desgosto dirigir gesto expressão facial polícia parecer.
shame;Quando o meu namorado revelou que sabia que eu tinha descoberto coisas de natureza importante sobre ele, senti vergonha por não o ter mencionado antes.
shame;namorado revelar saber ter descobrir coisa natureza importante sentir vergonha mencionar.
guilt;Quando sou desonesta para com um amigo de quem sou muito próxima, sinto-me culpada porque sei que ele dá uma versão diferente da verdade, e não corrigi esses erros, e ele está ciente de que sei que estão errados.
guilt;desonesto amigo culpar versão diferente verdade corrigi erro ciente errado.
joy;Quando descobri que tinha passado os dois últimos exames por uma margem de três pontos.
joy;descobrir ter passar último exame margem.
fear;Quando o meu pai estava doente e estava à espera dos resultados dos seus exames.
fear;pai doente espera resultado exame.
anger;Quando fui apanhado pela chuva torrencial da última quinta-feira e não tinha uma gabardina.
anger;apanhar chuva torrencial último ter gabardina.
sadness;Quando chumbei num exame.
sadness;chumbei exame.
disgust;Numa mesa de Smorgasbord, um homem misturou diferentes tipos de arenques em conserva com salada de fruta.
disgust;mesa Smorgasbord homem misturar diferentes tipo arenque conservar salada fruta.
shame;Quando não tinha preparado a minha contribuição para o grupo tão minuciosamente como os outros membros, o resultado global foi pobre.
shame;ter preparar contribuição minuciosamente membro resultado global pobre.
guilt;Quando eu e o meu pai trabalhámos na casa logo após ele ter recuperado da doença, eu era bastante preguiçoso. Isto significava que ele tinha de trabalhar arduamente e não estava muito bem mais tarde.
guilt;pai trabalhar casa recuperar doença preguiçoso significar ter trabalhar arduamente.
joy;Quando dei à luz o meu filho e vi que ele estava vivo e que eu o tinha conseguido bem. Ele nasceu um mês demasiado cedo, com um pulmão a funcionar mal. Isto aconteceu há um ano atrás.
joy;dar luz filho ver vivo ter conseguir nascer demasiado pulmão funcionar acontecer haver ano.
fear;Quando descobri que o meu pai tinha cancro do pulmão e eles não sabiam quanto tempo ele iria viver.
fear;descobrir pai ter cancro pulmão sabir ir viver.
anger;Quando um colega me pediu ajuda no trabalho, apesar de ele ter tido mais tempo para o fazer do que eu tinha.
anger;colega pedir ajuda trabalho apesar ter ter.
sadness;Quando não recebi o aumento de salário que esperava e compreendi como o trabalho de alguém pequeno era apreciado.
sadness;recebi aumento salário esperar compreendi trabalho alguém pequeno apreciar.
disgust;Quando eu estava a mondar o jardim, encontrei um lagarto na minha mão.
disgust;mondar jardim encontrar lagarto mão.
shame;Quando conheci uma amiga que não via há muito tempo e ouvi tudo sobre os seus problemas, pensei que deveria ter entrado em contacto com ela mais cedo.
shame;conhecer amiga ver haver ouvir problema pensar dever entrar contacto.
guilt;Fiquei zangado com a minha mãe por algo trivial. Estávamos de mau humor porque o meu pai estava muito doente e eu sabia que a minha mãe precisava realmente de apoio. Eu tinha reagido mal.
guilt;Fiquei zangado mãe trivial Estávamos mau humor pai doente saber mãe precisar realmente ter reagir.
joy;Na noite de Ano Novo de 1983/1984, conheci a minha namorada. Estávamos nas escadas à porta da casa dos pais dela e eu beijei-a pela primeira vez.
joy;noite Ano conheci namorada Estávamos escada porta casa pai de ela.
fear;Quando fui detido por polícias à paisana porque o carro que conduzia tinha capotado na avenida. Eu tinha estado a conduzir demasiado depressa, e tive medo quando fui parado, interrogado e depois mandado embora. A situação terminou feliz, uma vez que não houve consequências.
fear;deter polícia paisana carro conduziar ter capotar avenida ter conduzir demasiado depressa medo parar interrogar mandar situação terminar feliz haver consequência.
anger;O editor mudou o título de um artigo que eu tinha escrito. Ele considerou o título depreciativo em relação à pessoa sobre a qual eu tinha escrito.
anger;editor mudar título artigo ter escrever considerar título depreciativo pessoa ter escrever.
sadness;Um conhecido próximo da família morreu de cancro do pulmão. Embora fosse esperado, eu ainda me sentia deprimido.
sadness;família morrer cancro pulmão ser esperar sentir deprimido.
disgust;Quando vi uma fotografia no Posto de Gotemburgo de um carro totalmente demolido com dois passageiros feridos fatalmente. O carro estava tão danificado que não conseguiam retirar os corpos no local do acidente.
disgust;ver fotografia Posto Gotemburgo carro totalmente demolir passageiro ferir fatalmente carro danificar conseguir retirar corpo acidente.
shame;Uma noite tive relações sexuais com outro homem. O meu desejo sexual e a minha curiosidade fizeram-me saltar para a cama com ele. Agora tenho vergonha de mim próprio.
shame;noite relação sexual outro homem desejo sexual curiosidade saltar cama vergonha eu.
guilt;Devido à preguiça, falhei completamente o termo estudos numa universidade. Também queria, em certa medida, protestar contra as expectativas dos meus pais.
guilt;devido preguiça falhar completamente termo estudo universidade querer certo medida protestar expectativa pai.
joy;Quando consegui o empréstimo para os meus estudos.
joy;conseguir empréstimo estudo.
fear;Conheci pessoas intoxicadas com intenções duvidosas num beco sem saída, numa quarta-feira à noite.
fear;Conheci pessoa intoxicar intenção duvidoso beco saída noite.
anger;Na televisão, vi uma reportagem sobre a África do Sul. Um polícia atacou um grupo de pessoas negras com um chicote.
anger;televisão ver reportagem África Sul polícia atacar pessoa negro chicote.
sadness;A ideia de ter de ler um livro aborrecido de 400 páginas em inglês.
sadness;ideia ler livro aborrecir página inglês.
disgust;Gente resmungona.
disgust;gente resmungona.
shame;A minha incapacidade de me afirmar positivamente num grupo.
shame;incapacidade afirmar positivamente.
guilt;Sinto sentimentos de culpa porque não estudo o suficiente.
guilt;Sinto sentimento culpa estudo suficiente.
disgust;Observar alguém na cafetaria a engolir ruidosamente a sua comida, a ter maneiras extremamente más.
disgust;Observar alguém cafetaria engolir ruidosamente comida maneira extremamente má.
shame;Acho que muitas vezes tenho tido vergonha depois de ter falado mal de outras pessoas.
shame;achar muitas ter vergonha falar pessoa.
guilt;Tendo ficado zangado e desagradável para com os meus pais.
guilt;Ter ficar zangado desagradável pai.
joy;Quando a minha irmã - após uma história de um aborto e de um natimorto - deu à luz um rapaz perfeitamente saudável.
joy;irmã história aborto natimorto dar luz rapaz perfeitamente saudável.
fear;Quando a minha irmã teve o nado-morto, ela estava emocionalmente muito profundamente envolvida, e demorou muito tempo a recuperar.
fear;irmã emocionalmente profundamente envolver demorar recuperar.
anger;Estávamos a iniciar um projecto estudantil, e o professor com quem falámos foi muito negativo e pouco útil.
anger;Estávamos projecto estudantil professor falár negativo útil.
sadness;Quando o meu namorado me desiludiu abertamente, preferindo outra rapariga.
sadness;namorado desiludir abertamente preferir rapariga.
disgust;Senti alguma repugnância pelo meu namorado durante algum tempo, depois de ele me ter deixado.
disgust;sentir algum repugnância namorado durante algum deixar.
guilt;Antes de um acidente, a minha tia ofereceu-me o banco da frente do carro, ao lado do condutor. Eu recusei, e ela tomou esse lugar e morreu ali quando o carro se despenhou.
guilt;acidente tia banco frente carro condutor recusar tomar morrer carro despenhar.
joy;Visita inesperada de um amigo próximo, que eu não via há meio ano.
joy;visita inesperado amigo ver haver ano.
fear;Vaguei por engano para a zona de segurança de uma carreira de tiro e fui alvejado.
fear;Vaguei engano zona segurança carreira tiro alvejar.
anger;Ser tratado de forma injusta.
anger;tratar injusto.
sadness;Acabar com uma rapariga.
sadness;Acabar rapariga.
guilt;Pouco contacto com o meu pai antes da sua morte.
guilt;contacto pai morte.
joy;Quando fui aceite como estudante no colégio, não tendo pensado que era possível.
joy;aceitar estudante colégio ter pensar.
fear;Quando fui o primeiro a chegar ao local após um acidente e descobri que um amigo próximo da escola tinha sido morto.
fear;chegar acidente descobrir amigo escola ter ser matar.
anger;Fui acusado de ter feito algo, o que não tinha feito e fiquei muito zangado.
anger;acusar fazer ter fazer fiquei zangado.
sadness;Quando a minha avó morreu.
sadness;avó morrer.
joy;Há alguns anos, durante as férias de Verão, eu estava a pescar num lago com o meu marido. De repente, começou a chover enquanto o sol ainda brilhava. Senti uma sensação de alegria, felicidade e realização. toda a natureza estava cheia de música.
joy;haver ano durante férias Verão pescar lago marido repente começar chover sol brilhar sentir sensação alegria felicidade realização natureza cheio música.
fear;Eu estava sozinha em casa, na cama a ler uma revista feminina em que se contavam histórias de experiências paranormais. A minha perna estava com comichão e estiquei a mão para coçar e senti outra mão estranha. (mais tarde percebi que era o canto do cobertor).
fear;sozinho casa cama ler revista feminino contar história experiência paranormal perna comichão estiquar mão coçar sentir mão estranho percebi canto cobertor.
anger;Fui a uma palestra e, mais uma vez, tinha sido cancelada, esta era a segunda vez. Tinha-se uma atitude negativa em relação ao conferencista.
anger;palestra ter ser cancelar atitude negativo conferencista.
sadness;Soube que um antigo superior meu tinha morrido, estive mais tarde em casa a ler sobre o assunto no jornal e pensei na nossa interacção e em como já não era possível. O âmbito limitado da vida humana é triste.
sadness;Soube antigo superior ter morrer casa ler assunto jornal pensar interacção âmbito limitar vida humano triste.
disgust;No eléctrico, estava à minha frente uma mulher gorda, de aspecto doente, que me pedia indicações com uma voz grossa. Quando ela se levantou para ir, um cheiro nojento de urina veio dela. Senti que me ia engasgar.
disgust;eléctrico frente mulher gordo aspecto doente pedir indicação voz grosso levantar cheiro nojento urina vir de ela sentir ir engasgar.
shame;Quando estávamos em casa, o meu marido e eu, fizemos uma observação sobre algo que eu tinha feito, de uma forma perfeitamente amigável. O meu ato tinha sido injusto e eu sabia que o meu marido tinha razão, portanto o meu sentimento de vergonha.
shame;estar casa marido fizemos observação ter fazer perfeitamente amigável ato ter ser injusto saber marido ter razão sentimento vergonha.
